feature,mean_abs_shap
brent_High,0.030019383005960347
usdinr_Close,0.024632749759611355
wti_Open,0.02195695717804299
wti_Low,0.021594442279457598
usdinr_High,0.020568329243225204
dxy_Low,0.020288884259046916
wti_ema20_dist,0.019616648538994433
dxy_High,0.018287815446937864
brent_ema20_dist,0.01450683209176098
brent_Open,0.013534367978556701
dxy_ema10_dist,0.0124604976732257
usdinr_ema10_dist,0.010367049413205242
brent_mom_5,0.008887229884779507
dxy_Close,0.008859165916014353
close,0.008748440247919237
brent_Close,0.008748440247888224
wti_ema50_dist,0.007917575896976078
dxy_ret,0.007398515333491758
vix_High,0.007001868015021445
brent_ema50_dist,0.006871782264610423
vix_Open,0.006594379345362727
wti_ema10_dist,0.006500506168667859
dxy_Open,0.0064476817307527155
usdinr_ret,0.006405655290204393
brent_ema10_dist,0.006151752335227241
vix_ema20_dist,0.0059371672267124476
dxy_ret_slope_10,0.005822694653616994
brent_ma_ret_10,0.005773369661953164
dxy_ema20_dist,0.005701379154132485
vix_ema10_dist,0.005669060431681382
dxy_ma_ret_5,0.005467486769941168
brent_mom_10,0.005429100982969482
dxy_mom_5,0.005253694719738745
vix_mom_5,0.0051136408232255945
dxy_mom_7,0.004909596940408662
dxy_ma_ret_10,0.004855963506920496
dxy_acc_10,0.004641963951379335
usdinr_ma_ret_5,0.0042881634009994535
brent_ma_ret_5,0.004121018563220787
spread_ratio_dxy,0.003954680266482294
brent_ret_slope_10,0.003939908406863248
brent_Low,0.0038606462186429533
dxy_mom_10,0.0037170799666284295
vix_mom_10,0.003537258516264335
vix_ma_ret_10,0.0034926384824140863
usdinr_mom_5,0.003445500368846174
vix_ema50_dist,0.0033015741536470927
usdinr_ema20_dist,0.0031765201167955944
brent_acc_10,0.003164020711159933
usdinr_ma_ret_10,0.0031200946663435644
wti_High,0.003014245046226294
brent_ret,0.002878091269386645
wti_mom_5,0.0028452221840932577
vix_Close,0.002809322305427865
brent_roc_10,0.002682234043553792
usdinr_acc_10,0.002658678158656069
brent_acc_5,0.0026317213360373577
vix_Low,0.0026012724303326185
usdinr_ret_slope_10,0.002587507334109605
vix_acc_5,0.002469295557145968
dxy_roc_7,0.0024398235491962473
vix_mom_7,0.0023565002062802915
dxy_roc_10,0.002299998873595114
brent_obv,0.002244336232486792
usdinr_mom_7,0.002237675949982901
usdinr_ret_slope_5,0.0021488198857687207
brent_ret_slope_5,0.0021270021511396774
wti_Close,0.00207003993767186
wti_acc_5,0.0017558749225085072
wti_roc_7,0.0016857044498901986
dxy_obv,0.0015839834097674677
wti_mom_10,0.0015303725931043522
brent_roc_7,0.001520486281488703
brent_mom_7,0.0015107515872546517
wti_ret_slope_10,0.0014946255820693956
vix_roc_10,0.0014710823466583976
usdinr_acc_5,0.0013494233289903469
usdinr_roc_10,0.0013190275568799863
wti_mom_7,0.0012838415850146736
spread_ratio_usdinr,0.001213043269287546
vix_roc_7,0.0011984536881558803
dxy_roc_3,0.001165450984203026
vix_ret,0.0010899452909356403
spread_ratio_wti,0.0010428886811449417
brent_roc_3,0.0010336760201338016
dxy_ret_slope_5,0.0010335834648427954
wti_ma_ret_10,0.0010102430665208922
vix_ret_slope_10,0.001002956394442525
vix_acc_10,0.0009711998704470405
usdinr_Open,0.0009577751174280296
wti_acc_10,0.0008988487963060465
vix_ma_ret_5,0.0008879384924605035
wti_ma_ret_5,0.0008152263320670226
usdinr_roc_3,0.0007885630924972578
wti_roc_10,0.0007423714947851324
wti_ret_slope_5,0.0007311417051393518
wti_roc_3,0.0007195533082077269
vix_ret_slope_5,0.0007161304319316157
usdinr_roc_7,0.0006539818310263894
usdinr_Low,0.0006055988614996998
dxy_acc_5,0.0005091121897870412
vix_roc_3,0.0005021123803672305
wti_ret,0.0004860046354620259
usdinr_ema50_dist,0.00042269771258907773
wti_obv,0.00041677281197789365
dxy_ema50_dist,0.0003825500410088609
usdinr_mom_10,0.00021207996564061882
wti_adx_10,6.630752376264128e-05
dxy_adx_10,8.036470948043201e-06
brent_adx_10,4.075041821803404e-06
vix_obv,5.4328426605218704e-08
usdinr_obv,0.0
